question,ground_truth,contexts,evolution_type
What is the total cost for an international SWIFT transfer of 100 million VND?,"The cost is 250,000 VND flat fee + 0.05% of 100M = 50,000 VND. But minimum is 200,000 VND, so total = 250,000 + 200,000 = 450,000 VND.","[""### International Wire Transfers\nInternational transfers support SWIFT and Telex with processing time of 1-3 business days. Fees include a flat fee of 250,000 VND plus 0.05% of the transfer amount (minimum 200,000 VND, maximum 2 million VND). Available currencies include USD, EUR, GBP, JPY, SGD, and CNY.\n\n## Account Management"", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Domestic Transfers\n- Same bank: Free\n- Interbank (NAPAS) up to 500M VND: 11,000 VND\n- Interbank (NAPAS) 500M - 1B VND: 22,000 VND\n- Urgent transfer (within 30 minutes): additional 33,000 VND\n\n### International Transfers\n- SWIFT outgoing: 250,000 VND + 0.05% (min 200K, max 2M VND)\n- SWIFT incoming: 100,000 VND flat\n- Telex transfer: 300,000 VND + 0.05%\n\n## Card Fees""]",reasoning
"If someone withdraws a fixed deposit of 50M VND after 3 months from a 12-month term, what interest rate applies?",Early withdrawal results in a penalty rate of 0.5% per annum instead of the original higher rate (5-7.5%).,"[""### Fixed Deposit Account\nFixed deposits offer higher interest rates ranging from 5.0% to 7.5% per annum depending on the term. Available terms include 1, 3, 6, 12, 18, and 24 months. Early withdrawal results in a penalty rate of 0.5% per annum. The minimum deposit is 10 million VND for standard terms and 50 million VND for premium rates."", ""### Personal Loans\nPersonal loans are available for amounts from 10 million to 500 million VND. Interest rates start at 8.5% per annum for secured loans and 12% for unsecured loans. Loan terms range from 6 months to 60 months. Required documents include proof of income, identification (CCCD), and proof of residence."", ""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment.""]",reasoning
"Nếu khách hàng bị lỗi do ngân hàng với số tiền 10 triệu VND và lãi suất tiết kiệm là 4.5%, thì được bồi thường bao nhiêu?",Khách hàng được hoàn 100% (10 triệu) + lãi suất phạt 150% lãi suất tiết kiệm = 150% * 4.5% = 6.75% trên 10 triệu.,"[""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi."", ""## Chính Sách Lãi Suất\n\n### Lãi Suất Tiền Gửi\nLãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN. Biên độ dao động từ +0.5% đến +2.5% tùy theo kỳ hạn và số dư. Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND."", ""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm.""]",reasoning
How much does a premium credit card holder need to spend to get the annual fee waived?,"The premium annual fee of 1,500,000 VND is waived if annual spending exceeds 200 million VND.","[""### Premium Credit Card\nThe premium credit card offers a credit limit from 100 million to 500 million VND. Annual fee is 1,500,000 VND, waived if annual spending exceeds 200 million VND. Benefits include airport lounge access, travel insurance up to 2 billion VND, and 2x reward points on dining and travel purchases."", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Debit Card\n- Card issuance: Free (first card)\n- Card replacement: 100,000 VND\n- Annual fee: 50,000 VND (waived first year)\n- ATM withdrawal (own bank): Free\n- ATM withdrawal (other bank): 3,300 VND\n- ATM withdrawal (international): 50,000 VND + 2%""]",reasoning
What is the maximum mortgage loan amount for a property valued at 3 billion VND?,Mortgage loans cover up to 70% of property value. 70% of 3 billion = 2.1 billion VND.,"[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)"", ""### International Wire Transfers\nInternational transfers support SWIFT and Telex with processing time of 1-3 business days. Fees include a flat fee of 250,000 VND plus 0.05% of the transfer amount (minimum 200,000 VND, maximum 2 million VND). Available currencies include USD, EUR, GBP, JPY, SGD, and CNY.\n\n## Account Management""]",reasoning
"If an early repayment is made 2 years into a loan, what percentage penalty applies?","After first year but before third year, the early repayment fee is 2% of remaining balance.","[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Account Opening Requirements\nTo open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport. For foreign nationals, a valid visa or residence card is required in addition to a passport. The account opening process takes approximately 15-30 minutes at any branch.""]",reasoning
Quy trình thẩm định tín dụng mất tối đa bao nhiêu ngày?,Tổng thời gian tối đa: 1 ngày (kiểm tra) + 3 ngày (thẩm định tài sản) + 1 ngày (xếp hạng) + 2 ngày (phê duyệt) = 7 ngày.,"[""### Hồ Sơ Yêu Cầu\nHồ sơ vay gồm: Đơn đề nghị vay, CCCD, sổ hộ khẩu, xác nhận thu nhập, sao kê ngân hàng 6 tháng gần nhất. Đối với vay thế chấp, cần thêm giấy tờ quyền sở hữu tài sản và biên bản định giá.\n\n### Quy Trình Thẩm Định\nQuy trình thẩm định gồm 4 bước: (1) Kiểm tra hồ sơ ban đầu (1 ngày), (2) Thẩm định tài sản (2-3 ngày), (3) Xếp hạng tín dụng nội bộ (1 ngày), (4) Phê duyệt bởi Hội đồng tín dụng (1-2 ngày). Tổng thời gian trung bình 5-7 ngày làm việc."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng"", ""# Chính Sách Ngân Hàng — Hướng Dẫn Nội Bộ\n\n## Quy Trình Xử Lý Khiếu Nại\n\n### Tiếp Nhận Khiếu Nại\nKhiếu nại của khách hàng được tiếp nhận qua 4 kênh: quầy giao dịch, tổng đài 1900-xxxx, email support@bank.vn, và ứng dụng mobile banking. Thời gian phản hồi ban đầu không quá 24 giờ làm việc. Mỗi khiếu nại được gán mã số và theo dõi trên hệ thống CRM.""]",reasoning
Is the online savings account more cost-effective than a regular savings account for small balances?,"Yes. Online savings has no minimum balance, no monthly fees, and +0.3% bonus interest rate compared to regular savings.","[""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""# Banking Fees and Charges Schedule\n\n## Account Maintenance Fees\n\n| Account Type | Monthly Fee | Waiver Condition |\n|---|---|---|\n| Regular Savings | 10,000 VND | Balance > 1M VND |\n| Premium Savings | Free | Always free |\n| Checking Account | 20,000 VND | Salary account |\n| Student Account | Free | Valid student ID |\n\n## Transfer Fees""]",reasoning
What is the minimum collateral value required for a secured business loan of 1 billion VND?,Secured loans require 120% collateral coverage. 120% of 1 billion = 1.2 billion VND collateral.,"[""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards"", ""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### Personal Loans\nPersonal loans are available for amounts from 10 million to 500 million VND. Interest rates start at 8.5% per annum for secured loans and 12% for unsecured loans. Loan terms range from 6 months to 60 months. Required documents include proof of income, identification (CCCD), and proof of residence.""]",reasoning
How much would a customer save annually by choosing interbank transfers via NAPAS instead of SWIFT for domestic transfers?,"NAPAS interbank costs 11,000 VND per transfer. SWIFT would be much more expensive at 250,000+ VND per transfer. Savings depend on volume.","[""### Domestic Transfers\nDomestic bank transfers are processed within 1-2 hours during business hours (8:00 AM to 5:00 PM). Same-bank transfers are instant and free. Interbank transfers via NAPAS cost 11,000 VND for amounts up to 500 million VND."", ""### Domestic Transfers\n- Same bank: Free\n- Interbank (NAPAS) up to 500M VND: 11,000 VND\n- Interbank (NAPAS) 500M - 1B VND: 22,000 VND\n- Urgent transfer (within 30 minutes): additional 33,000 VND\n\n### International Transfers\n- SWIFT outgoing: 250,000 VND + 0.05% (min 200K, max 2M VND)\n- SWIFT incoming: 100,000 VND flat\n- Telex transfer: 300,000 VND + 0.05%\n\n## Card Fees"", ""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers""]",reasoning
Khách hàng VIP với số dư trên 1 tỷ VND được ưu đãi gì về lãi suất?,"Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND, biên độ dao động từ +0.5% đến +2.5%.","[""## Chính Sách Lãi Suất\n\n### Lãi Suất Tiền Gửi\nLãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN. Biên độ dao động từ +0.5% đến +2.5% tùy theo kỳ hạn và số dư. Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng"", ""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi.""]",reasoning
Compare the security measures for online banking transactions vs ATM withdrawals.,"Online banking uses 2FA via OTP for all transactions and OTP for amounts >5M VND. ATM uses physical card + PIN, and supports cardless QR withdrawal.","[""### Fraud Prevention\nThe bank employs real-time transaction monitoring using AI-based anomaly detection. Suspicious transactions trigger automatic alerts via SMS and email. Customers can instantly freeze their cards through the mobile app. All online transactions require OTP verification for amounts exceeding 5 million VND."", ""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers"", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance.""]",multi_context
What are all the fees associated with using a standard credit card internationally?,"Foreign transaction fee: 2.5%, cash advance: 3% (min 50K), plus the standard annual fee of 300,000 VND. ATM international withdrawal: 50,000 VND + 2%.","[""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount."", ""### Corporate Credit Card\nCorporate credit cards are issued to businesses with a minimum annual revenue of 5 billion VND. Features include consolidated billing, expense tracking, individual spending limits per employee, and integration with major accounting software.\n\n## Digital Banking Services"", ""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)""]",multi_context
Compare interest rates between savings accounts and personal loan rates to calculate the spread.,"Savings: 4.5% regular, up to 7.5% fixed deposit. Personal loans: 8.5% secured, 12% unsecured. Spread ranges from 1% to 7.5%.","[""### Personal Loans\nPersonal loans are available for amounts from 10 million to 500 million VND. Interest rates start at 8.5% per annum for secured loans and 12% for unsecured loans. Loan terms range from 6 months to 60 months. Required documents include proof of income, identification (CCCD), and proof of residence."", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""# Banking Products & Services Guide\n\n## Savings Accounts\n\n### Regular Savings Account\nA regular savings account offers a competitive interest rate of 4.5% per annum for balances above 10 million VND. The minimum opening balance is 500,000 VND. Interest is calculated daily and paid monthly. Customers can make unlimited withdrawals but must maintain the minimum balance.""]",multi_context
What are the complete KYC requirements and data protection measures for new account opening?,"KYC: valid CCCD/passport, age ≥18. Enhanced due diligence for PEPs. Data protection: AES-256 encryption, TLS 1.3, 10-year retention, Circular 09/2020 compliance.","[""### KYC and Compliance\nAll accounts are subject to Know Your Customer (KYC) requirements. Enhanced due diligence (EDD) applies to politically exposed persons (PEPs) and high-risk customers. Suspicious transaction reports (STR) are filed for transactions exceeding 300 million VND or any unusual patterns."", ""### Data Protection\nCustomer data is encrypted using AES-256 at rest and TLS 1.3 in transit. Data retention period is 10 years after account closure as required by Vietnamese banking regulations. The bank complies with Circular 09/2020/TT-NHNN on information technology risk management."", ""### Account Opening Requirements\nTo open an account, customers must be at least 18 years old and present a valid CCCD (Citizen Identity Card) or passport. For foreign nationals, a valid visa or residence card is required in addition to a passport. The account opening process takes approximately 15-30 minutes at any branch.""]",multi_context
So sánh quy trình xử lý khiếu nại cấp 1 và cấp 3 về thời gian và mức độ nghiêm trọng.,"Cấp 1: đơn giản, xử lý 3 ngày. Cấp 3: nghiêm trọng, xử lý 15 ngày. Khiếu nại gian lận luôn là Cấp 3.","[""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi."", ""# Chính Sách Ngân Hàng — Hướng Dẫn Nội Bộ\n\n## Quy Trình Xử Lý Khiếu Nại\n\n### Tiếp Nhận Khiếu Nại\nKhiếu nại của khách hàng được tiếp nhận qua 4 kênh: quầy giao dịch, tổng đài 1900-xxxx, email support@bank.vn, và ứng dụng mobile banking. Thời gian phản hồi ban đầu không quá 24 giờ làm việc. Mỗi khiếu nại được gán mã số và theo dõi trên hệ thống CRM."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng""]",multi_context
What is the total cost breakdown for taking out a 500M VND mortgage including all fees?,Mortgage processing: 0.5% of 500M = 2.5M VND (min 1M). Interest: 7.5-9.5% per annum. Disbursement: 0.1% = 500K VND. Property appraisal: free (first).,"[""### Home Mortgage Loans\nMortgage loans cover up to 70% of property value with interest rates from 7.5% to 9.5% per annum. The maximum loan term is 25 years. Borrowers must have a stable income of at least 3 times the monthly repayment amount. Property appraisal is conducted by the bank at no extra cost for the first assessment."", ""### ATM Network\nThe bank operates 2,500 ATMs nationwide. Daily withdrawal limit is 50 million VND per card. Interbank ATM withdrawals incur a fee of 3,300 VND per transaction. Cardless withdrawal via QR code is available at all bank-owned ATMs.\n\n## Wire Transfers"", ""### Domestic Transfers\n- Same bank: Free\n- Interbank (NAPAS) up to 500M VND: 11,000 VND\n- Interbank (NAPAS) 500M - 1B VND: 22,000 VND\n- Urgent transfer (within 30 minutes): additional 33,000 VND\n\n### International Transfers\n- SWIFT outgoing: 250,000 VND + 0.05% (min 200K, max 2M VND)\n- SWIFT incoming: 100,000 VND flat\n- Telex transfer: 300,000 VND + 0.05%\n\n## Card Fees""]",multi_context
How do the bank's fraud prevention and AML systems work together to protect customers?,"Fraud prevention: AI-based real-time monitoring, auto alerts, instant card freeze. AML: transactions ≥300M reported, suspicious pattern detection, compliant with 2022 AML law.","[""### Fraud Prevention\nThe bank employs real-time transaction monitoring using AI-based anomaly detection. Suspicious transactions trigger automatic alerts via SMS and email. Customers can instantly freeze their cards through the mobile app. All online transactions require OTP verification for amounts exceeding 5 million VND."", ""### Account Closure\nAccount closure requires a written request and valid identification. Outstanding loans and credit card balances must be settled before closure. Remaining balance is transferred to a designated account or paid by cashier's check. Account closure is processed within 5 business days.\n\n## Security Policies"", ""### Business Loans\nBusiness loans for SMEs range from 100 million to 10 billion VND. Collateral requirements vary: secured loans require 120% collateral coverage, while credit-based loans are available for existing customers with good track records. The approval process takes 5-7 business days for secured loans and 10-15 days for credit-based loans.\n\n## Credit Cards""]",multi_context
What digital banking features are available across both mobile and internet banking platforms?,"Both support: balance inquiry, fund transfers, bill payments. Mobile adds: biometric login, QR payments, P2P instant transfers. Internet banking: up to 500M per transaction, customizable limits up to 2B.","[""### Corporate Credit Card\nCorporate credit cards are issued to businesses with a minimum annual revenue of 5 billion VND. Features include consolidated billing, expense tracking, individual spending limits per employee, and integration with major accounting software.\n\n## Digital Banking Services"", ""### Online Savings Account\nThe online savings account provides a 0.3% bonus interest rate compared to regular savings. Available exclusively through the mobile banking app and internet banking platform. No minimum balance requirement and no monthly maintenance fees.\n\n## Loan Products"", ""### Mobile Banking App\nThe mobile banking app supports biometric login (fingerprint and face recognition), QR code payments, mobile top-up, and instant notifications. The app is available on iOS 14+ and Android 10+. Peer-to-peer transfers are instant and free for amounts under 10 million VND.""]",multi_context
So sánh chính sách lãi suất cho vay giữa vay cá nhân có tài sản đảm bảo và không có tài sản đảm bảo.,Có TSĐB: 8.5%/năm. Không TSĐB: 12%/năm. Chênh lệch 3.5%. Khách hàng xếp hạng A+ được giảm thêm 0.5%.,"[""## Chính Sách Lãi Suất\n\n### Lãi Suất Tiền Gửi\nLãi suất tiền gửi được điều chỉnh hàng quý dựa trên lãi suất cơ bản của NHNN. Biên độ dao động từ +0.5% đến +2.5% tùy theo kỳ hạn và số dư. Lãi suất ưu đãi áp dụng cho khách hàng VIP với số dư trên 1 tỷ VND."", ""### Lãi Suất Cho Vay\nLãi suất cho vay được tính theo công thức: Lãi suất cơ bản + Biên độ rủi ro + Phí quản lý. Biên độ rủi ro dao động từ 1% đến 5% tùy theo xếp hạng tín dụng của khách hàng. Khách hàng có lịch sử tín dụng tốt (xếp hạng A trở lên) được giảm 0.5% biên độ.\n\n## Quy Trình Phê Duyệt Tín Dụng"", ""### Phân Loại Khiếu Nại\nKhiếu nại được phân thành 3 cấp độ: Cấp 1 (đơn giản, xử lý trong 3 ngày), Cấp 2 (phức tạp, xử lý trong 7 ngày), Cấp 3 (nghiêm trọng, xử lý trong 15 ngày). Khiếu nại liên quan đến gian lận tài chính luôn được phân loại Cấp 3.\n\n### Bồi Thường và Đền Bù\nTrường hợp lỗi do ngân hàng, khách hàng được hoàn trả 100% số tiền bị ảnh hưởng cộng lãi suất phạt 150% lãi suất tiết kiệm hiện hành. Thời gian hoàn tiền không quá 5 ngày làm việc kể từ khi xác nhận lỗi.""]",multi_context
What are all the options available for a customer who wants to close their account and transfer remaining funds?,Written request + valid ID. Settle outstanding loans/credit cards. Balance transferred to designated account or cashier's check. Process: 5 business days.,"[""### KYC and Compliance\nAll accounts are subject to Know Your Customer (KYC) requirements. Enhanced due diligence (EDD) applies to politically exposed persons (PEPs) and high-risk customers. Suspicious transaction reports (STR) are filed for transactions exceeding 300 million VND or any unusual patterns."", ""### Internet Banking\nInternet banking supports balance inquiry, fund transfers up to 500 million VND per transaction, bill payments, and account management. Two-factor authentication (2FA) via OTP is mandatory for all transactions. Daily transfer limit can be customized from 10 million to 2 billion VND."", ""### Fraud Prevention\nThe bank employs real-time transaction monitoring using AI-based anomaly detection. Suspicious transactions trigger automatic alerts via SMS and email. Customers can instantly freeze their cards through the mobile app. All online transactions require OTP verification for amounts exceeding 5 million VND.""]",multi_context
Compare the complete fee structures between standard and premium credit cards.,"Standard: 300K annual fee, 10-100M limit, basic rewards. Premium: 1.5M fee (waived at 200M spend), 100-500M limit, lounge access, 2B travel insurance, 2x points on dining/travel.","[""### Credit Card Fees\n- Standard annual fee: 300,000 VND\n- Premium annual fee: 1,500,000 VND\n- Late payment penalty: 4% of minimum payment\n- Cash advance: 3% (min 50,000 VND)\n- Foreign transaction fee: 2.5%\n- Over-limit fee: 200,000 VND\n- Card replacement: 150,000 VND\n\n## Loan Fees\n\n### Processing Fees\n- Personal loan processing: 1% of loan amount (min 500K VND)\n- Mortgage processing: 0.5% of loan amount (min 1M VND)\n- Business loan processing: 0.3% of loan amount (min 2M VND)"", ""### Premium Credit Card\nThe premium credit card offers a credit limit from 100 million to 500 million VND. Annual fee is 1,500,000 VND, waived if annual spending exceeds 200 million VND. Benefits include airport lounge access, travel insurance up to 2 billion VND, and 2x reward points on dining and travel purchases."", ""### Standard Credit Card\nThe standard credit card has an annual fee of 300,000 VND with a credit limit from 10 million to 100 million VND. The interest-free period is 45 days for full payment. Cash advance fee is 3% of the transaction amount with a minimum of 50,000 VND. Late payment penalty is 4% of the minimum payment amount.""]",multi_context
"Liệt kê tất cả các biện pháp bảo mật từ mật khẩu, OTP, đến mã hóa dữ liệu.","Mật khẩu: 8+ ký tự, hết hạn 90 ngày, khóa sau 5 lần sai. OTP: SMS/Smart OTP, sinh trắc học >50M. Mã hóa: AES-256 (rest), TLS 1.3 (transit). Sao lưu 2 trung tâm.","[""### Giải Ngân\nGiải ngân được thực hiện trong vòng 2 ngày làm việc sau khi hoàn tất thủ tục pháp lý. Đối với khoản vay trên 5 tỷ VND, giải ngân theo tiến độ dự án. Phí giải ngân là 0.1% giá trị khoản vay, tối thiểu 500,000 VND.\n\n## Chính Sách Bảo Mật"", ""### Phòng Chống Rửa Tiền (AML)\nNgân hàng tuân thủ Luật Phòng chống rửa tiền 2022. Giao dịch tiền mặt từ 300 triệu VND trở lên phải báo cáo cho Cục Phòng chống rửa tiền. Hệ thống giám sát tự động phát hiện các mẫu giao dịch bất thường và gian lận.\n\n### Sao Lưu và Phục Hồi\nDữ liệu được sao lưu hàng ngày tại 2 trung tâm dữ liệu khác nhau. Thời gian phục hồi mục tiêu (RTO) là 4 giờ và điểm phục hồi mục tiêu (RPO) là 1 giờ. Kiểm thử khôi phục thảm họa được thực hiện 2 lần mỗi năm."", ""### Hồ Sơ Yêu Cầu\nHồ sơ vay gồm: Đơn đề nghị vay, CCCD, sổ hộ khẩu, xác nhận thu nhập, sao kê ngân hàng 6 tháng gần nhất. Đối với vay thế chấp, cần thêm giấy tờ quyền sở hữu tài sản và biên bản định giá.\n\n### Quy Trình Thẩm Định\nQuy trình thẩm định gồm 4 bước: (1) Kiểm tra hồ sơ ban đầu (1 ngày), (2) Thẩm định tài sản (2-3 ngày), (3) Xếp hạng tín dụng nội bộ (1 ngày), (4) Phê duyệt bởi Hội đồng tín dụng (1-2 ngày). Tổng thời gian trung bình 5-7 ngày làm việc.""]",multi_context
